year,product_code,product_fullname_english,product_shortname_english,group_code,group_name,community_code,community_name,community_color,export_value_usd,import_value_usd,export_rca,import_rca,,,,,,,,
1962,8805,"Aircraft launching gear, deck-arrestor or similar gear, ground flying trainers; parts of the foregoing articles",Aircraft Launch Gear,88,"Aircraft, spacecraft and parts thereof",17,Transportation,#a1aafb,3843979,18045,3.3698,0.023,,,,,,,,
1962,8804,Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto,Parachutes,88,"Aircraft, spacecraft and parts thereof",17,Transportation,#a1aafb,196294,7698,0.6789,0.0388,,,,,,,,
1962,8803,Aircraft; parts of heading no. 8801 or 8802,Aircraft Parts,88,"Aircraft, spacecraft and parts thereof",17,Transportation,#a1aafb,140366542,66029672,2.2426,1.5362,,,,,,,,
1962,8802,"Aircraft n.e.c. in heading no. 8801 (e.g. helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles","Planes, Helicopters, and/or Spacecraft",88,"Aircraft, spacecraft and parts thereof",17,Transportation,#a1aafb,448014537,98841165,2.7472,0.8826,,,,,,,,
1962,8801,"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",Non-powered Aircraft,88,"Aircraft, spacecraft and parts thereof",17,Transportation,#a1aafb,246421974,101020935,2.6072,1.5564,,,,,,,,
1962,8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof",Trailers,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,21063451,3635796,1.3208,0.332,,,,,,,,
1962,8715,Baby carriages and parts thereof,Baby Carriages,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,1298182,483051,0.8306,0.4501,,,,,,,,
1962,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,Bi-Wheel Vehicle Parts,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,3837363,8995200,0.3076,1.0501,,,,,,,,
1962,8713,Carriages for disabled persons; whether or not motorised or otherwise mechanically propelled,Wheelchairs,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,339978,0,3.3913,,,,,,,,,
1962,8712,"Bicycles and other cycles; including delivery tricycles, not motorised",Bicycles,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,4719595,23916125,0.3133,2.3118,,,,,,,,
1962,8711,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",Motorcycles,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,1833281,25292942,0.0865,1.7381,,,,,,,,
1962,8710,"Tanks and other armoured fighting vehicles; motorised, whether or not fitted with weapons, and parts of such vehicles",Armored vehicles,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation,#a1aafb,28543169,3509056,0.9574,0.1714,,,,,,,,
